,Param,Cum_PnL,Sharpe,Sortino,Max Drawdown,Win Ratio
42,"[55, 30, 10]",45320.0,0.9795187807333653,0.34531691402922027,-0.283318623124438,0.6216216216216216
43,"[57, 30, 16]",42480.0,0.9778804158911873,0.28311985272763013,-0.2587917042380472,0.6341463414634146
44,"[52, 30, 18]",45960.0,0.9757757977961281,0.32742507396172355,-0.22470978441126754,0.6122448979591837
45,"[53, 30, 13]",46400.0,0.9741574509039115,0.34874093531545813,-0.3017602682313391,0.6046511627906976
46,"[49, 30, 14]",49000.0,0.9674943056898131,0.36368486638965725,-0.18946540880502827,0.5909090909090909
47,"[53, 30, 10]",44360.0,0.9659097180922048,0.3549175888835129,-0.2551848512173061,0.6153846153846154
48,"[47, 30, 15]",47200.0,0.9651489068042318,0.33995206492155217,-0.2021189894050458,0.6304347826086957
49,"[54, 30, 12]",43960.0,0.9637395635713376,0.32281476959792843,-0.2798245614034931,0.6578947368421053
50,"[54, 30, 19]",47200.0,0.962062733725626,0.3073998795462089,-0.24171382376715964,0.6808510638297872
51,"[55, 30, 12]",44520.0,0.9608634909905698,0.32009721765380533,-0.2755632582322147,0.631578947368421
52,"[55, 30, 19]",47760.0,0.9578694137387831,0.3103196939743576,-0.2709832134292318,0.6595744680851063
53,"[40, 30, 15]",46560.0,0.9548021540722288,0.33446823970245043,-0.2122213047068477,0.6271186440677966
54,"[48, 30, 14]",48560.0,0.9545854488887192,0.36311062933364335,-0.1911181601903211,0.6046511627906976
55,"[52, 30, 13]",45320.0,0.9533213719331614,0.33588899259068167,-0.28644939965693667,0.5909090909090909
56,"[54, 30, 20]",46240.0,0.9498738347665283,0.29765663893459077,-0.2555647155811768,0.6875
57,"[54, 30, 11]",42200.0,0.9477973862057426,0.34848791264358825,-0.2937956204379428,0.631578947368421
58,"[53, 30, 12]",43560.0,0.9471264617427331,0.3274445652010336,-0.28230088495573524,0.625
59,"[53, 30, 19]",46800.0,0.9471235773016601,0.31622937138304524,-0.22738386308067943,0.6530612244897959
60,"[46, 30, 14]",46720.0,0.9469732225423743,0.34274928762473367,-0.21069958847736253,0.6222222222222222
61,"[58, 30, 16]",40760.0,0.9460635863894318,0.2654423824895328,-0.26923076923076544,0.625
62,"[55, 30, 11]",42760.0,0.9447419849759668,0.3450192633038001,-0.2891891891891701,0.6052631578947368
63,"[52, 30, 10]",43280.0,0.9443562623120739,0.3387314064765689,-0.23752310536043714,0.6
64,"[45, 30, 16]",47920.0,0.9437466815809945,0.3181663560060738,-0.2522088353413523,0.625
65,"[50, 30, 16]",45920.0,0.9435095196001368,0.3211588658087555,-0.24016736401672936,0.6
66,"[55, 30, 20]",46800.0,0.9432355090813873,0.3008737970966329,-0.2852485737570984,0.6666666666666666
67,"[59, 30, 16]",40520.0,0.9403092537643443,0.26473023042540683,-0.270754716981128,0.6
68,"[56, 30, 17]",41400.0,0.939651501914874,0.2690219067831395,-0.25915750915749214,0.6046511627906976
69,"[44, 30, 15]",51280.0,0.9374961582616846,0.3630176098226753,-0.18961625282165753,0.6170212765957447
70,"[57, 30, 17]",40840.0,0.936287474844473,0.26176884025551966,-0.2625231910946047,0.6190476190476191
71,"[53, 30, 20]",45840.0,0.9348544545557028,0.3064528954291655,-0.24023275145468484,0.66
72,"[53, 30, 11]",41800.0,0.9307265268323439,0.3533778880383714,-0.2965009208102983,0.6
73,"[52, 30, 19]",45720.0,0.92692690289731,0.30682912528639483,-0.23249999999999432,0.64
74,"[52, 30, 12]",42480.0,0.9255637414743124,0.3126563518908718,-0.2656391659111348,0.6097560975609756
75,"[51, 30, 18]",46880.0,0.9251512053602426,0.34038926170328865,-0.22050447518306782,0.5918367346938775
76,"[49, 30, 16]",46560.0,0.9183206343556339,0.3188199038082451,-0.23699421965317335,0.5957446808510638
77,"[52, 30, 20]",44760.0,0.9144938245145066,0.29746472229186544,-0.24574829931971542,0.6470588235294118
78,"[45, 30, 17]",46280.0,0.9121143462354305,0.29754834983415324,-0.27265238879734455,0.6122448979591837
79,"[47, 30, 14]",44560.0,0.912068797389853,0.3332003633259303,-0.22049956933676587,0.6136363636363636
80,"[52, 30, 11]",40720.0,0.9086590590946027,0.3351228451962007,-0.2795089707270865,0.5853658536585366
81,"[50, 30, 17]",44280.0,0.9068394702972224,0.29842158243357403,-0.24312714776630703,0.5869565217391305
82,"[48, 30, 16]",46120.0,0.9056477598549394,0.3170005043390693,-0.23916666666665967,0.6086956521739131
83,"[58, 30, 17]",39120.0,0.902900637564592,0.24622562211663196,-0.273429951690807,0.6097560975609756
84,"[40, 30, 14]",43920.0,0.8999094150190426,0.32257352410889895,-0.24716157205239936,0.6140350877192983
85,"[41, 30, 15]",43840.0,0.8980208155191586,0.29827743735611384,-0.25459317585300195,0.6415094339622641
86,"[59, 30, 17]",38880.0,0.897094411184561,0.24678597053264129,-0.2750242954324441,0.5853658536585366
87,"[51, 30, 13]",46240.0,0.8970250325019525,0.3487457128348855,-0.29604709840200794,0.5681818181818182
88,"[46, 30, 16]",44280.0,0.8964997198512407,0.2995031105174169,-0.2504332755632509,0.625
89,"[44, 30, 14]",48640.0,0.8902739085892666,0.35498381230955023,-0.22327790973870432,0.6
90,"[51, 30, 10]",44200.0,0.8844121166935915,0.3524296688939355,-0.24886877828053575,0.575
91,"[51, 30, 19]",46640.0,0.8842415771911776,0.31888017135465596,-0.22812755519214625,0.62
92,"[49, 30, 17]",44920.0,0.8833038695576326,0.29742178628869415,-0.24491525423726493,0.5833333333333334
93,"[51, 30, 20]",45680.0,0.8796261104552304,0.3093752294811426,-0.24103419516262484,0.6274509803921569
94,"[56, 30, 18]",39000.0,0.8701090707645034,0.273399174592135,-0.32461240310073497,0.6
95,"[48, 30, 17]",44480.0,0.8696508843870506,0.29382282215222566,-0.2472198460222166,0.5957446808510638
96,"[51, 30, 12]",43400.0,0.8673500706072884,0.3245309299393234,-0.2761989342806222,0.5853658536585366
97,"[57, 30, 18]",38440.0,0.8659685861167447,0.2671595887219255,-0.3084479371315987,0.6136363636363636
98,"[46, 30, 17]",42640.0,0.8639713868567582,0.27816528925897777,-0.27248441674085894,0.6122448979591837
99,"[45, 30, 18]",43880.0,0.8628364993710684,0.31136969979889806,-0.30415944540725726,0.5882352941176471
100,"[47, 30, 16]",42120.0,0.861137648053692,0.28950696536777165,-0.2627272727272546,0.6170212765957447
101,"[56, 30, 13]",38360.0,0.8511503630444228,0.2795797292922735,-0.33870967741933455,0.575
102,"[51, 30, 11]",41640.0,0.848997758625523,0.3481308547060832,-0.2902033271718889,0.5609756097560976
103,"[57, 30, 13]",37800.0,0.8468044183278038,0.2743216107021139,-0.34151329243352724,0.5897435897435898
104,"[40, 30, 16]",41480.0,0.8459539304367629,0.2824003874545102,-0.291512915129144,0.6166666666666667
105,"[41, 30, 14]",41200.0,0.8431723761410139,0.28753949679409974,-0.28505106778085104,0.6274509803921569
106,"[50, 30, 18]",41880.0,0.8431311800532135,0.2955410875674441,-0.261775362318813,0.5833333333333334
107,"[42, 30, 15]",43880.0,0.8425150467135164,0.3129670038815801,-0.27010489510488306,0.6078431372549019
108,"[44, 30, 16]",46200.0,0.8417847184932783,0.31028937418730207,-0.262063227953393,0.6041666666666666
109,"[56, 30, 10]",36320.0,0.83956061173179,0.2794075353783728,-0.35022026431716513,0.5833333333333334
110,"[57, 30, 10]",35760.0,0.8352709767359526,0.27471694457946794,-0.3322147651006654,0.6
111,"[58, 30, 18]",36720.0,0.8326101299721852,0.24993749226614814,-0.3005128205127902,0.6046511627906976
112,"[43, 30, 15]",44360.0,0.8310349187876421,0.31617644815096363,-0.25432525951555796,0.6078431372549019
113,"[45, 30, 13]",43240.0,0.8285443670485999,0.3071837296467191,-0.4021543985637215,0.5869565217391305
114,"[47, 30, 17]",40480.0,0.8280678957180226,0.2673999064910554,-0.2862488306828551,0.6041666666666666
115,"[59, 30, 18]",36480.0,0.8269317083223615,0.24891187924143243,-0.3023735810113211,0.5813953488372093
116,"[45, 30, 19]",43640.0,0.8241911854591213,0.28527317657021917,-0.31707317073169033,0.6346153846153846
117,"[49, 30, 18]",42520.0,0.8229997149356657,0.294014060622498,-0.2758928571428308,0.58
118,"[56, 30, 19]",38760.0,0.8220102049476352,0.25510255467594306,-0.32748538011692613,0.6304347826086957
119,"[56, 30, 12]",35520.0,0.8197491947288752,0.25617940711480963,-0.3175457481162248,0.5945945945945946
120,"[50, 30, 13]",41240.0,0.8185311982442378,0.3082645866131551,-0.3627819548871978,0.5581395348837209
121,"[57, 30, 19]",38200.0,0.8172541392200102,0.24933831195589432,-0.3112648221343626,0.6444444444444445
122,"[45, 30, 20]",42680.0,0.8161726336678398,0.2757833697353803,-0.31494661921706096,0.6415094339622641
123,"[57, 30, 12]",34960.0,0.8152463850276926,0.2523840353350626,-0.3202185792349534,0.6111111111111112
124,"[40, 30, 17]",39840.0,0.8146339979149543,0.26560086076622746,-0.3162393162393008,0.6065573770491803
125,"[58, 30, 13]",36080.0,0.8146266891590384,0.2551159187269291,-0.35721925133688964,0.5789473684210527
126,"[44, 30, 17]",44560.0,0.8127341782294666,0.2902689396220665,-0.2835183603757221,0.5918367346938775
127,"[48, 30, 18]",42080.0,0.8099713815743154,0.2913934950286978,-0.278629395852091,0.5918367346938775
128,"[59, 30, 13]",35840.0,0.8090600999458755,0.2526142494950784,-0.35952637244347846,0.5526315789473685
129,"[45, 30, 10]",41200.0,0.8068744661915981,0.30493024437113614,-0.3601941747572733,0.5952380952380952
130,"[50, 30, 19]",41640.0,0.8049486430003191,0.280356488927907,-0.27504553734059595,0.6122448979591837
131,"[56, 30, 20]",37800.0,0.80492368707504,0.24632020977137245,-0.34630738522949706,0.6382978723404256
132,"[50, 30, 10]",39200.0,0.8037218301408467,0.3089608689655427,-0.31530612244896356,0.5641025641025641
133,"[58, 30, 10]",34040.0,0.8019040734244414,0.2529420253647015,-0.32432432432432173,0.5882352941176471
134,"[46, 30, 18]",40240.0,0.801794577640057,0.2748907855148116,-0.3066792097836157,0.6078431372549019
135,"[49, 30, 13]",41880.0,0.8009270459167682,0.304946501034679,-0.3759259259259076,0.5555555555555556
136,"[56, 30, 11]",33760.0,0.8003743190097252,0.27385083713352804,-0.33672316384178075,0.5675675675675675
137,"[57, 30, 20]",37240.0,0.8000271158014296,0.24050522001498745,-0.32995951417000535,0.6521739130434783
138,"[50, 30, 20]",40680.0,0.7986008148566389,0.2725388629340731,-0.2718808193668259,0.62
139,"[45, 30, 12]",40400.0,0.7969133259306752,0.28414053442018666,-0.3872502378686752,0.6046511627906976
140,"[59, 30, 10]",33800.0,0.7960927861499586,0.24941078317725954,-0.3266272189349083,0.5588235294117647
141,"[57, 30, 11]",33200.0,0.7957766622866156,0.27013645920626245,-0.3398392652123831,0.5833333333333334
142,"[42, 30, 14]",41240.0,0.7924145413572365,0.30171535951880973,-0.2987012987012847,0.5918367346938775
143,"[54, 30, 21]",38320.0,0.791931574599069,0.23681261254597735,-0.455172413793097,0.673469387755102
144,"[41, 30, 16]",38760.0,0.7906651440671681,0.25156057771998536,-0.3346456692913089,0.6296296296296297
145,"[49, 30, 19]",42280.0,0.7899481704528898,0.2800559465549804,-0.2890484739676621,0.6078431372549019
146,"[48, 30, 13]",41440.0,0.7892413832335167,0.3043256441282364,-0.37979420018707033,0.5681818181818182
147,"[55, 30, 21]",38880.0,0.7881577293288924,0.24037914898300997,-0.48785228377063583,0.6530612244897959
148,"[50, 30, 12]",38400.0,0.7863208256759237,0.2854851378304409,-0.34465534465531583,0.575
149,"[58, 30, 19]",36480.0,0.78511870304017,0.2329592472720272,-0.3034055727553952,0.6363636363636364
150,"[49, 30, 20]",41320.0,0.783066815229811,0.27244550410623924,-0.28623853211006617,0.6153846153846154
151,"[43, 30, 14]",41720.0,0.7821291797212646,0.305277290632992,-0.29724770642200576,0.5918367346938775
152,"[58, 30, 12]",33240.0,0.7817547893061629,0.23212044992257083,-0.33600917431190847,0.6
153,"[49, 30, 10]",39840.0,0.7807627735898175,0.3030498134051053,-0.33032128514054815,0.5609756097560976
154,"[59, 30, 19]",36240.0,0.7797582993598899,0.2318059996483819,-0.30529595015574007,0.6136363636363636
155,"[53, 30, 21]",37920.0,0.7779402521118658,0.2430124397340642,-0.41990049751242886,0.6470588235294118
156,"[48, 30, 19]",41840.0,0.777766550345459,0.2781720426535946,-0.291931097008136,0.62
157,"[45, 30, 11]",38640.0,0.7772004972387903,0.29928223094143835,-0.4071499503475485,0.5813953488372093
158,"[46, 30, 13]",39600.0,0.7764932616531323,0.285745979045024,-0.41348973607037703,0.5869565217391305
159,"[59, 30, 12]",33000.0,0.7759577329937506,0.2281924608527903,-0.3383371824480183,0.5714285714285714
160,"[48, 30, 20]",40880.0,0.7706910595171756,0.27041037040443006,-0.2891566265059967,0.6274509803921569
161,"[48, 30, 10]",39400.0,0.7687954728621007,0.30378411118963217,-0.3340101522842479,0.575
162,"[49, 30, 12]",39040.0,0.768507363199361,0.28236946113136807,-0.35889872173055315,0.5714285714285714
163,"[58, 30, 20]",35520.0,0.767675599529084,0.22455719823700723,-0.3227513227512893,0.6444444444444445
164,"[46, 30, 19]",40000.0,0.7675661037936333,0.26197529672901104,-0.3207190160832443,0.6346153846153846
165,"[44, 30, 18]",42160.0,0.7674581544977187,0.3022531602906224,-0.3168316831682887,0.5686274509803921
166,"[50, 30, 11]",36640.0,0.7662391622444866,0.3028144476356044,-0.3636363636363368,0.55
167,"[47, 30, 18]",38080.0,0.7657926461220125,0.2636944936001154,-0.32309217046577826,0.6
168,"[40, 30, 18]",37440.0,0.7655090891374371,0.27210601424406566,-0.3554884189325099,0.5873015873015873
169,"[59, 30, 20]",35280.0,0.7622965423361322,0.22358638876144393,-0.3248136315228627,0.6222222222222222
170,"[58, 30, 11]",31480.0,0.7613660354319921,0.24735842954386847,-0.35748792270529917,0.5714285714285714
171,"[46, 30, 20]",39040.0,0.7601574192198274,0.25444885028167924,-0.3184898354307699,0.6415094339622641
172,"[41, 30, 17]",37120.0,0.7591366104648419,0.23527070375414816,-0.36243654822330934,0.6181818181818182
173,"[52, 30, 21]",36840.0,0.7571895202770151,0.23523846942089344,-0.4018404907975352,0.6346153846153846
174,"[48, 30, 12]",38600.0,0.7565258294306726,0.2839063385237773,-0.3628230616301894,0.5853658536585366
175,"[46, 30, 10]",37560.0,0.7556891456381711,0.2833431794676794,-0.36847710330138544,0.5952380952380952
176,"[59, 30, 11]",31240.0,0.755405089172331,0.242552850843574,-0.36009732360095786,0.5428571428571428
177,"[49, 30, 11]",37280.0,0.7482498921856945,0.2962354200154164,-0.378211716341188,0.5476190476190477
178,"[46, 30, 12]",36760.0,0.743084156959137,0.2643099094689139,-0.3979166666666535,0.6046511627906976
179,"[42, 30, 16]",38800.0,0.7422568034410794,0.26212654267543134,-0.34906588003931044,0.5961538461538461
180,"[47, 30, 13]",37440.0,0.7415915758982663,0.27495058195369665,-0.43653250773991725,0.5777777777777777
181,"[44, 30, 19]",41920.0,0.7369946000139367,0.2771449041407198,-0.3303167420814246,0.6153846153846154
182,"[48, 30, 11]",36840.0,0.7360616437811061,0.29776168634727074,-0.38253638253635536,0.5609756097560976
183,"[44, 30, 13]",41520.0,0.7344718291802208,0.29751122713938016,-0.4192343604108106,0.5652173913043478
184,"[43, 30, 16]",39280.0,0.7333058518398083,0.26581209334731687,-0.3469387755101853,0.5961538461538461
185,"[47, 30, 19]",37840.0,0.7323704425252815,0.25157815712265874,-0.33798604187435277,0.6274509803921569
186,"[44, 30, 20]",40960.0,0.7323613245811484,0.26773353883682927,-0.32839962997222033,0.6226415094339622
187,"[51, 30, 21]",37760.0,0.7309744920556192,0.2454804297307732,-0.3346653346653289,0.6153846153846154
188,"[40, 30, 19]",37200.0,0.7285228376034708,0.24956797290329139,-0.37082066869299735,0.625
189,"[54, 30, 22]",36080.0,0.7278902834155889,0.21403685252625282,-0.49635036496348567,0.6346153846153846
190,"[40, 30, 13]",36800.0,0.7258177506259804,0.264263004673429,-0.4721930745015662,0.5862068965517241
191,"[55, 30, 22]",36640.0,0.7257140762638741,0.21899172449792484,-0.5303186022610202,0.6153846153846154
192,"[47, 30, 20]",36880.0,0.7238098458752413,0.243951430051747,-0.3360572012257117,0.6346153846153846
193,"[46, 30, 11]",35000.0,0.7221629603767564,0.2765547337695822,-0.4203056768558857,0.5813953488372093
194,"[40, 30, 20]",36240.0,0.7218318857748125,0.24061403647880947,-0.3696780893042407,0.6307692307692307
